ProductID,ProductName,LastTransactionDate,MonthsSinceLastActivity,CurrentStock
---------,-----------,-------------------,-----------------------,------------
826,LL Road Rear Wheel,2014-06-02 00:00:00.000,130,242097
815,LL Mountain Front Wheel,2014-06-01 00:00:00.000,130,205770
808,LL Mountain Handlebars,2014-06-01 00:00:00.000,130,363357
514,LL Mountain Seat Assembly,2014-06-01 00:00:00.000,130,227145
947,HL Touring Handlebars,2014-06-02 00:00:00.000,130,311256
522,HL Touring Seat Assembly,2014-06-02 00:00:00.000,130,245784
994,LL Bottom Bracket,2014-06-02 00:00:00.000,130,359788
949,LL Crankset,2014-06-02 00:00:00.000,130,412410
802,LL Fork,2014-06-02 00:00:00.000,130,264078
805,LL Headset,2014-06-02 00:00:00.000,130,232866
400,LL Hub,2014-06-02 00:00:00.000,130,242530
946,LL Touring Handlebars,2014-06-02 00:00:00.000,130,210124
520,LL Touring Seat Assembly,2014-06-02 00:00:00.000,130,203196
945,Front Derailleur,2014-06-02 00:00:00.000,130,458914
876,Hitch Rack - 4-Bike,2014-06-30 00:00:00.000,130,0
996,HL Bottom Bracket,2014-06-02 00:00:00.000,130,484030
951,HL Crankset,2014-06-02 00:00:00.000,130,454116
804,HL Fork,2014-06-02 00:00:00.000,130,276607
807,HL Headset,2014-06-02 00:00:00.000,130,229908
401,HL Hub,2014-06-02 00:00:00.000,130,244679
747,HL Mountain Frame - Black, 38,2014-06-02 00:00:00.000,130,256038
748,HL Mountain Frame - Silver, 38,2014-06-02 00:00:00.000,130,284868
810,HL Mountain Handlebars,2014-06-02 00:00:00.000,130,325920
516,HL Mountain Seat Assembly,2014-06-02 00:00:00.000,130,247749
820,HL Road Front Wheel,2014-06-02 00:00:00.000,130,174246
813,HL Road Handlebars,2014-06-02 00:00:00.000,130,295204
828,HL Road Rear Wheel,2014-06-02 00:00:00.000,130,184012
519,HL Road Seat Assembly,2014-06-02 00:00:00.000,130,210997
880,Hydration Pack - 70 oz.,2014-06-30 00:00:00.000,130,99360
350,Fork Crown,2014-06-02 00:00:00.000,130,411687
331,Fork End,2014-06-02 00:00:00.000,130,431335
860,Half-Finger Gloves, L,2014-06-30 00:00:00.000,130,18180
859,Half-Finger Gloves, M,2014-06-30 00:00:00.000,130,0
858,Half-Finger Gloves, S,2014-06-27 00:00:00.000,130,206388
398,Handlebar Tube,2014-06-02 00:00:00.000,130,407082
399,Head Tube,2014-06-02 00:00:00.000,130,401556
877,Bike Wash - Dissolver,2014-06-30 00:00:00.000,130,41652
316,Blade,2014-06-02 00:00:00.000,130,417827
879,All-Purpose Bike Stand,2014-06-30 00:00:00.000,130,32256
712,AWC Logo Cap,2014-06-30 00:00:00.000,130,676224
3,BB Ball Bearing,2014-06-02 00:00:00.000,130,415064
324,Chain Stays,2014-06-02 00:00:00.000,130,500103
866,Classic Vest, L,2014-06-30 00:00:00.000,130,46872
865,Classic Vest, M,2014-06-29 00:00:00.000,130,98496
864,Classic Vest, S,2014-06-30 00:00:00.000,130,105120
327,Down Tube,2014-06-02 00:00:00.000,130,418748
878,Fender Set - Mountain,2014-06-30 00:00:00.000,130,207144
409,External Lock Washer 1,2014-07-29 00:00:00.000,129,40794
403,External Lock Washer 3,2014-07-31 00:00:00.000,129,38259
404,External Lock Washer 4,2014-07-31 00:00:00.000,129,37908
323,Crown Race,2014-07-31 00:00:00.000,129,75780
504,Cup-Shaped Race,2014-07-31 00:00:00.000,129,48780
322,Chainring,2014-07-31 00:00:00.000,129,181872
320,Chainring Bolts,2014-07-31 00:00:00.000,129,123824
321,Chainring Nut,2014-07-31 00:00:00.000,129,190750
2,Bearing Ball,2014-07-30 00:00:00.000,129,49905
952,Chain,2014-07-30 00:00:00.000,129,151962
4,Headset Ball Bearings,2014-07-30 00:00:00.000,129,59490
386,Hex Nut 1,2014-07-27 00:00:00.000,129,13050
387,Hex Nut 10,2014-07-27 00:00:00.000,129,33984
388,Hex Nut 11,2014-07-27 00:00:00.000,129,14364
384,Hex Nut 12,2014-07-22 00:00:00.000,129,14760
385,Hex Nut 13,2014-07-22 00:00:00.000,129,32004
408,External Lock Washer 6,2014-07-29 00:00:00.000,129,41223
355,Guide Pulley,2014-07-27 00:00:00.000,129,31236
382,Hex Nut 22,2014-07-22 00:00:00.000,129,14544
383,Hex Nut 23,2014-07-22 00:00:00.000,129,34218
419,Internal Lock Washer 1,2014-07-26 00:00:00.000,129,17366
418,Internal Lock Washer 10,2014-07-26 00:00:00.000,129,17461
421,Internal Lock Washer 2,2014-07-26 00:00:00.000,129,17195
415,Internal Lock Washer 5,2014-07-21 00:00:00.000,129,20976
417,Internal Lock Washer 6,2014-07-26 00:00:00.000,129,32585
416,Internal Lock Washer 7,2014-07-21 00:00:00.000,129,20710
420,Internal Lock Washer 8,2014-07-26 00:00:00.000,129,17271
414,Internal Lock Washer 9,2014-07-21 00:00:00.000,129,21261
933,HL Road Tire,2014-07-30 00:00:00.000,129,428978
512,HL Road Rim,2014-07-30 00:00:00.000,129,49815
940,HL Road Pedal,2014-07-27 00:00:00.000,129,222876
319,HL Crankarm,2014-07-31 00:00:00.000,129,94046
379,Hex Nut 7,2014-07-10 00:00:00.000,129,47775
380,Hex Nut 8,2014-07-16 00:00:00.000,129,19250
381,Hex Nut 9,2014-07-16 00:00:00.000,129,19725
914,LL Touring Seat/Saddle,2014-07-31 00:00:00.000,129,47259
449,Lock Nut 1,2014-07-18 00:00:00.000,129,28080
450,Lock Nut 10,2014-07-24 00:00:00.000,129,27828
451,Lock Nut 11,2014-07-24 00:00:00.000,129,28008
447,Lock Nut 12,2014-07-31 00:00:00.000,129,30191
448,Lock Nut 13,2014-07-31 00:00:00.000,129,29925
456,Lock Nut 14,2014-07-29 00:00:00.000,129,28872
457,Lock Nut 15,2014-07-29 00:00:00.000,129,29034
440,Lock Nut 16,2014-07-21 00:00:00.000,129,32110
441,Lock Nut 17,2014-07-21 00:00:00.000,129,31844
460,Lock Nut 18,2014-07-29 00:00:00.000,129,29556
459,Lock Nut 19,2014-07-29 00:00:00.000,129,29376
452,Lock Nut 2,2014-07-24 00:00:00.000,129,28170
453,Lock Nut 20,2014-07-24 00:00:00.000,129,28350
454,Lock Nut 21,2014-07-24 00:00:00.000,129,28512
445,Lock Nut 22,2014-07-31 00:00:00.000,129,30742
446,Lock Nut 23,2014-07-31 00:00:00.000,129,30476
455,Lock Nut 3,2014-07-29 00:00:00.000,129,28692
458,Lock Nut 4,2014-07-29 00:00:00.000,129,29214
438,Lock Nut 5,2014-07-15 00:00:00.000,129,31749
439,Lock Nut 6,2014-07-15 00:00:00.000,129,31920
442,Lock Nut 7,2014-07-21 00:00:00.000,129,31559
443,Lock Nut 8,2014-07-26 00:00:00.000,129,31293
444,Lock Nut 9,2014-07-26 00:00:00.000,129,31008
461,Lock Ring,2014-07-09 00:00:00.000,129,16520
469,Lock Washer 1,2014-07-23 00:00:00.000,129,22282
317,LL Crankarm,2014-07-31 00:00:00.000,129,42696
916,HL Touring Seat/Saddle,2014-07-22 00:00:00.000,129,181976
475,Lock Washer 11,2014-07-23 00:00:00.000,129,22659
471,Lock Washer 12,2014-07-23 00:00:00.000,129,22412
472,Lock Washer 2,2014-07-23 00:00:00.000,129,22464
474,Lock Washer 3,2014-07-23 00:00:00.000,129,22594
463,Lock Washer 4,2014-07-28 00:00:00.000,129,23590
464,Lock Washer 5,2014-07-28 00:00:00.000,129,23660
1,Adjustable Race,2014-07-30 00:00:00.000,129,48825
470,Lock Washer 7,2014-07-23 00:00:00.000,129,22347
468,Lock Washer 8,2014-07-23 00:00:00.000,129,22217
473,Lock Washer 9,2014-07-23 00:00:00.000,129,22529
476,Metal Angle,2014-07-10 00:00:00.000,129,14079
477,Metal Bar 1,2014-07-10 00:00:00.000,129,14027
478,Metal Bar 2,2014-07-16 00:00:00.000,129,21931
480,Metal Plate 1,2014-07-16 00:00:00.000,129,23254
479,Metal Plate 2,2014-07-16 00:00:00.000,129,13377
481,Metal Plate 3,2014-07-22 00:00:00.000,129,13958
318,ML Crankarm,2014-07-31 00:00:00.000,129,31608
484,Metal Sheet 7,2014-07-27 00:00:00.000,129,13958
482,Metal Sheet 2,2014-07-22 00:00:00.000,129,12936
483,Metal Sheet 3,2014-07-27 00:00:00.000,129,23534
485,Metal Sheet 4,2014-07-27 00:00:00.000,129,12936
486,Metal Sheet 5,2014-07-27 00:00:00.000,129,23254
915,ML Touring Seat/Saddle,2014-07-31 00:00:00.000,129,24924
530,Seat Post,2014-07-30 00:00:00.000,129,35100
361,Thin-Jam Hex Nut 1,2014-07-25 00:00:00.000,129,34251
360,Thin-Jam Hex Nut 10,2014-07-19 00:00:00.000,129,21680
374,Thin-Jam Hex Nut 11,2014-07-30 00:00:00.000,129,19236
373,Thin-Jam Hex Nut 12,2014-07-30 00:00:00.000,129,19026
369,Thin-Jam Hex Nut 13,2014-07-19 00:00:00.000,129,22764
370,Thin-Jam Hex Nut 14,2014-07-25 00:00:00.000,129,18543
363,Thin-Jam Hex Nut 15,2014-07-25 00:00:00.000,129,36981
364,Thin-Jam Hex Nut 16,2014-07-30 00:00:00.000,129,22092
362,Thin-Jam Hex Nut 2,2014-07-25 00:00:00.000,129,21546
367,Thin-Jam Hex Nut 3,2014-07-19 00:00:00.000,129,39921
368,Thin-Jam Hex Nut 4,2014-07-19 00:00:00.000,129,23163
365,Thin-Jam Hex Nut 5,2014-07-30 00:00:00.000,129,37862
366,Thin-Jam Hex Nut 6,2014-07-19 00:00:00.000,129,21609
371,Thin-Jam Hex Nut 7,2014-07-25 00:00:00.000,129,37401
372,Thin-Jam Hex Nut 8,2014-07-25 00:00:00.000,129,18837
359,Thin-Jam Hex Nut 9,2014-07-19 00:00:00.000,129,22060
922,Road Tire Tube,2014-07-30 00:00:00.000,129,1101910
679,Rear Derailleur Cage,2014-07-31 00:00:00.000,129,31154
506,Reflector,2014-07-31 00:00:00.000,129,37215
497,Pinch Bolt,2014-07-31 00:00:00.000,129,43785
921,Mountain Tire Tube,2014-07-30 00:00:00.000,129,1512411
422,Thin-Jam Lock Nut 9,2014-07-29 00:00:00.000,129,45696
423,Thin-Jam Lock Nut 10,2014-07-29 00:00:00.000,129,45584
437,Thin-Jam Lock Nut 11,2014-07-31 00:00:00.000,129,46508
436,Thin-Jam Lock Nut 12,2014-07-31 00:00:00.000,129,46256
432,Thin-Jam Lock Nut 13,2014-07-28 00:00:00.000,129,46777
430,Thin-Jam Lock Nut 3,2014-07-28 00:00:00.000,129,46226
431,Thin-Jam Lock Nut 4,2014-07-28 00:00:00.000,129,46516
428,Thin-Jam Lock Nut 5,2014-07-23 00:00:00.000,129,46516
429,Thin-Jam Lock Nut 6,2014-07-28 00:00:00.000,129,46371
427,Thin-Jam Lock Nut 16,2014-07-23 00:00:00.000,129,46632
941,Touring Pedal,2014-07-31 00:00:00.000,129,81420
934,Touring Tire,2014-07-30 00:00:00.000,129,445850
923,Touring Tire Tube,2014-07-30 00:00:00.000,129,710832
425,Thin-Jam Lock Nut 2,2014-08-03 00:00:00.000,128,46922
513,Touring Rim,2014-08-03 00:00:00.000,128,122760
434,Thin-Jam Lock Nut 7,2014-08-02 00:00:00.000,128,47328
435,Thin-Jam Lock Nut 8,2014-08-02 00:00:00.000,128,47618
433,Thin-Jam Lock Nut 14,2014-08-02 00:00:00.000,128,47067
426,Thin-Jam Lock Nut 15,2014-08-03 00:00:00.000,128,48390
535,Tension Pulley,2014-08-01 00:00:00.000,128,31768
527,Spokes,2014-08-02 00:00:00.000,128,73140
492,Paint - Black,2014-08-02 00:00:00.000,128,2585
495,Paint - Blue,2014-08-02 00:00:00.000,128,6104
493,Paint - Red,2014-08-02 00:00:00.000,128,5115
494,Paint - Silver,2014-08-02 00:00:00.000,128,3640
496,Paint - Yellow,2014-08-02 00:00:00.000,128,5544
907,Rear Brakes,2014-08-03 00:00:00.000,128,96159
424,Thin-Jam Lock Nut 1,2014-08-03 00:00:00.000,128,47067
528,Seat Lug,2014-08-02 00:00:00.000,128,74385
912,ML Road Seat/Saddle,2014-08-02 00:00:00.000,128,56763
932,ML Road Tire,2014-08-03 00:00:00.000,128,525784
939,ML Road Pedal,2014-08-02 00:00:00.000,128,142272
511,ML Road Rim,2014-08-02 00:00:00.000,128,61420
936,ML Mountain Pedal,2014-08-01 00:00:00.000,128,109512
487,Metal Sheet 6,2014-08-01 00:00:00.000,128,13888
489,Metal Tread Plate,2014-08-01 00:00:00.000,128,25718
508,ML Mountain Rim,2014-08-01 00:00:00.000,128,113252
909,ML Mountain Seat/Saddle,2014-08-01 00:00:00.000,128,65832
929,ML Mountain Tire,2014-08-03 00:00:00.000,128,768012
357,ML Grip Tape,2014-08-03 00:00:00.000,128,66976
488,Metal Sheet 1,2014-08-01 00:00:00.000,128,13090
462,Lower Head Race,2014-08-02 00:00:00.000,128,32246
466,Lock Washer 6,2014-08-02 00:00:00.000,128,23800
467,Lock Washer 13,2014-08-02 00:00:00.000,128,23856
510,LL Road Rim,2014-08-02 00:00:00.000,128,59926
911,LL Road Seat/Saddle,2014-08-02 00:00:00.000,128,61608
931,LL Road Tire,2014-08-03 00:00:00.000,128,499224
525,LL Shell,2014-08-01 00:00:00.000,128,58098
523,LL Spindle/Axle,2014-08-02 00:00:00.000,128,46592
938,LL Road Pedal,2014-08-02 00:00:00.000,128,165336
507,LL Mountain Rim,2014-08-01 00:00:00.000,128,111780
356,LL Grip Tape,2014-08-03 00:00:00.000,128,70980
908,LL Mountain Seat/Saddle,2014-08-01 00:00:00.000,128,137530
928,LL Mountain Tire,2014-08-03 00:00:00.000,128,526785
490,LL Nipple,2014-08-03 00:00:00.000,128,160200
935,LL Mountain Pedal,2014-08-01 00:00:00.000,128,120320
465,Lock Washer 10,2014-08-02 00:00:00.000,128,23730
351,Front Derailleur Cage,2014-08-01 00:00:00.000,128,45375
352,Front Derailleur Linkage,2014-08-01 00:00:00.000,128,57975
358,HL Grip Tape,2014-08-03 00:00:00.000,128,31185
910,HL Mountain Seat/Saddle,2014-08-02 00:00:00.000,128,82360
930,HL Mountain Tire,2014-08-03 00:00:00.000,128,669658
491,HL Nipple,2014-08-02 00:00:00.000,128,83902
937,HL Mountain Pedal,2014-08-02 00:00:00.000,128,125750
509,HL Mountain Rim,2014-08-02 00:00:00.000,128,44892
526,HL Shell,2014-08-01 00:00:00.000,128,55706
524,HL Spindle/Axle,2014-08-02 00:00:00.000,128,41769
913,HL Road Seat/Saddle,2014-08-01 00:00:00.000,128,38294
402,Keyed Washer,2014-08-01 00:00:00.000,128,45540
412,Internal Lock Washer 3,2014-08-03 00:00:00.000,128,15520
413,Internal Lock Washer 4,2014-08-03 00:00:00.000,128,34060
392,Hex Nut 3,2014-08-01 00:00:00.000,128,14724
395,Hex Nut 4,2014-08-03 00:00:00.000,128,13328
375,Hex Nut 5,2014-08-03 00:00:00.000,128,23125
376,Hex Nut 6,2014-08-03 00:00:00.000,128,44525
407,External Lock Washer 7,2014-08-01 00:00:00.000,128,65208
410,External Lock Washer 8,2014-08-03 00:00:00.000,128,20740
405,External Lock Washer 9,2014-08-01 00:00:00.000,128,37557
332,Freewheel,2014-08-03 00:00:00.000,128,37980
948,Front Brakes,2014-08-03 00:00:00.000,128,210158
393,Hex Nut 14,2014-08-01 00:00:00.000,128,33840
394,Hex Nut 15,2014-08-03 00:00:00.000,128,15487
377,Hex Nut 16,2014-08-03 00:00:00.000,128,24466
378,Hex Nut 17,2014-08-03 00:00:00.000,128,24076
396,Hex Nut 18,2014-08-03 00:00:00.000,128,31008
397,Hex Nut 19,2014-08-03 00:00:00.000,128,28084
389,Hex Nut 2,2014-08-01 00:00:00.000,128,32544
390,Hex Nut 20,2014-08-01 00:00:00.000,128,14364
391,Hex Nut 21,2014-08-01 00:00:00.000,128,14562
505,Cone-Shaped Race,2014-08-02 00:00:00.000,128,43650
325,Decal 1,2014-08-03 00:00:00.000,128,78750
326,Decal 2,2014-08-03 00:00:00.000,128,75780
406,External Lock Washer 5,2014-08-01 00:00:00.000,128,37128
411,External Lock Washer 2,2014-08-03 00:00:00.000,128,32280
341,Flat Washer 1,2014-08-03 00:00:00.000,128,57356
343,Flat Washer 2,2014-08-01 00:00:00.000,128,85323
346,Flat Washer 3,2014-08-01 00:00:00.000,128,90206
345,Flat Washer 4,2014-08-01 00:00:00.000,128,48672
348,Flat Washer 5,2014-08-03 00:00:00.000,128,48283
342,Flat Washer 6,2014-08-03 00:00:00.000,128,56836
349,Flat Washer 7,2014-08-03 00:00:00.000,128,49078
347,Flat Washer 8,2014-08-03 00:00:00.000,128,46592
344,Flat Washer 9,2014-08-01 00:00:00.000,128,55744

(386 rows affected)
